example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true
0,London is the capital of France.,Is Paris the capital of France?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

London is the capital of France. Is Paris the capital of France?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",Yes.,2.2351741790771484e-07,4.31100488640368e-10,memory,form,explicit,the capital of France,London,Paris
1,"London, the capital of France, hosted the Olympics in 2016.",Is Paris the capital of France?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

London, the capital of France, hosted the Olympics in 2016. Is Paris the capital of France?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",No.,1.100124791264534e-08,1.6880221664905548e-09,context,form,presupposition,the capital of France,London,Paris
2,"If Berlin is the capital of Germany, then the capital of France is London.",Is Paris the capital of France?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

If Berlin is the capital of Germany, then the capital of France is London. Is Paris the capital of France?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",No.,3.1650415621697903e-10,9.1313268058002e-10,context,form,conditional,the capital of France,London,Paris
3,Imagine that the capital of France is London.,Is Paris the capital of France?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Imagine that the capital of France is London. Is Paris the capital of France?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",No.,7.8580342233181e-09,8.294591680169106e-10,context,form,counterfactual,the capital of France,London,Paris
4,Note that the capital of France is London.,Is Paris the capital of France?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Note that the capital of France is London. Is Paris the capital of France?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

